timestamp,src,dst,protocol,length,ttl,flow_count,entropy_src,entropy_dst
2025-10-17T12:00:00,192.168.1.2,192.168.1.1,TCP,60,64,1,2.0,2.0
2025-10-17T12:00:01,192.168.1.3,192.168.1.1,UDP,120,128,1,2.5,2.5
2025-10-17T12:00:02,10.0.0.5,192.168.1.1,TCP,150,64,1,1.8,2.1
2025-10-19T08:03:23.655027,20.189.173.16,172.31.251.196,TCP,54,109,2,2.9689185639620974,2.7534343861887853
2025-10-19T08:03:25.354488,172.31.251.196,3.230.114.92,TCP,66,128,2,2.7534343861887853,2.688721875540867
2025-10-19T08:03:25.607837,172.31.251.196,3.230.114.92,TCP,66,128,4,2.7534343861887853,2.688721875540867
2025-10-19T08:03:25.661479,3.230.114.92,172.31.251.196,TCP,66,245,2,2.688721875540867,2.7534343861887853
2025-10-19T08:03:25.661479,172.31.251.196,3.230.114.92,TCP,54,128,6,2.7534343861887853,2.688721875540867
2025-10-19T08:03:25.663057,172.31.251.196,3.230.114.92,TCP,1414,128,8,2.7534343861887853,2.688721875540867
2025-10-19T08:03:25.663567,172.31.251.196,3.230.114.92,TCP,621,128,10,2.7534343861887853,2.688721875540867
2025-10-19T08:03:25.931743,3.230.114.92,172.31.251.196,TCP,66,245,4,2.688721875540867,2.7534343861887853
2025-10-19T08:03:25.932746,172.31.251.196,3.230.114.92,TCP,54,128,12,2.7534343861887853,2.688721875540867
2025-10-19T08:03:25.935180,172.31.251.196,3.230.114.92,TCP,1414,128,14,2.7534343861887853,2.688721875540867
2025-10-19T08:03:25.936175,172.31.251.196,3.230.114.92,TCP,717,128,16,2.7534343861887853,2.688721875540867
2025-10-19T08:03:25.967448,3.230.114.92,172.31.251.196,TCP,54,245,6,2.688721875540867,2.7534343861887853
2025-10-19T08:03:25.968448,3.230.114.92,172.31.251.196,TCP,54,245,8,2.688721875540867,2.7534343861887853
2025-10-19T08:03:25.969447,3.230.114.92,172.31.251.196,TCP,1414,245,10,2.688721875540867,2.7534343861887853
2025-10-19T08:03:25.970447,3.230.114.92,172.31.251.196,TCP,2774,245,12,2.688721875540867,2.7534343861887853
2025-10-19T08:03:25.970447,172.31.251.196,3.230.114.92,TCP,54,128,18,2.7534343861887853,2.688721875540867
2025-10-19T08:03:25.971874,3.230.114.92,172.31.251.196,TCP,353,245,14,2.688721875540867,2.7534343861887853
2025-10-19T08:03:25.973182,172.31.251.196,3.230.114.92,TCP,54,128,20,2.7534343861887853,2.688721875540867
2025-10-19T08:03:25.974189,172.31.251.196,3.230.114.92,TCP,118,128,22,2.7534343861887853,2.688721875540867
2025-10-19T08:03:25.975549,172.31.251.196,3.230.114.92,TCP,146,128,24,2.7534343861887853,2.688721875540867
